"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2021","16,149.57","16,337.81","16,413.28","16,141.39","189.74M","-1.49%"
"12/08/2021","16,394.34","16,313.88","16,401.10","16,250.39","208.05M","0.42%"
"12/07/2021","16,325.66","16,139.56","16,343.67","16,128.44","261.97M","3.03%"
"12/06/2021","15,846.16","15,744.91","15,898.59","15,557.78","244.53M","0.85%"
"12/03/2021","15,712.04","16,039.41","16,089.61","15,543.31","287.69M","-1.74%"
"12/02/2021","15,990.76","15,791.30","16,066.32","15,770.92","252.10M","0.71%"
"12/01/2021","15,877.72","16,347.96","16,427.19","15,864.00","253.55M","-1.60%"
"11/30/2021","16,135.92","16,333.95","16,454.56","16,073.76","412.49M","-1.61%"
"11/29/2021","16,399.24","16,263.43","16,437.16","16,214.56","222.80M","2.33%"
"11/26/2021","16,025.58","16,237.42","16,302.58","15,988.95","188.04M","-2.09%"
"11/24/2021","16,367.81","16,202.26","16,370.56","16,106.02","173.02M","0.37%"
"11/23/2021","16,306.72","16,330.18","16,417.50","16,121.69","213.56M","-0.45%"
"11/22/2021","16,380.98","16,644.77","16,764.85","16,374.78","240.38M","-1.16%"
"11/19/2021","16,573.34","16,558.56","16,625.86","16,523.83","230.31M","0.55%"
"11/18/2021","16,482.97","16,398.76","16,501.92","16,309.51","225.12M","1.07%"
"11/17/2021","16,308.07","16,329.07","16,398.95","16,276.77","184.41M","-0.01%"
"11/16/2021","16,309.77","16,170.29","16,329.50","16,156.69","181.24M","0.75%"
"11/15/2021","16,189.11","16,227.01","16,256.73","16,096.37","164.95M","-0.07%"
"11/12/2021","16,199.89","16,078.13","16,218.55","16,012.78","154.83M","1.04%"
"11/11/2021","16,032.47","16,114.05","16,116.25","16,019.39","144.38M","0.29%"
